"scientificName"
"Ardea cinerea"
"Troglodytes troglodytes"
"Erithacus rubecula"
"Fringilla coelebs"
"Corvus cornix"
"Saxicola rubicola"
"Anthus pratensis"
"Aquila chrysaetos"
"Rana temporaria"
"Vipera berus"
"Coloeus monedula"
"Parus major"
"Falco tinnunculus"
"Aegithalos caudatus"
"Carduelis carduelis"
"Accipiter nisus"
"Turdus viscivorus"
"Motacilla alba"
"Spinus spinus"
"Cervus elaphus"
"Corvus corone"
"Delichon urbicum"
"Columba palumbus"
"Apus apus"
